city_name,latitude,longitude,avg_temp_7_days,total_rain_7_days,main_weather
Mont Saint Michel,48.6359541,-1.51146,8.33,12.24,Rain
St Malo,48.649518,-2.0260409,8.26,11.08,Rain
Bayeux,49.2764624,-0.7024738,7.62,14.56,Rain
Le Havre,49.4938975,0.1079732,7.19,13.98,Rain
Rouen,49.4404591,1.0939658,7.22,10.9,Rain
Paris,48.8534951,2.3483915,7.41,13.47,Rain
Amiens,49.8941708,2.2956951,6.34,6.16,Rain
Lille,50.6365654,3.0635282,5.78,4.06,Rain
Strasbourg,48.584614,7.7507127,5.11,2.44,Rain
Chateau du Haut Koenigsbourg,48.2494107,7.3443202,3.34,1.92,Rain
Colmar,48.0777517,7.3579641,6.11,1.25,Rain
Eguisheim,48.0447968,7.3079618,5.96,1.29,Rain
Besancon,47.2380222,6.0243622,7.68,3.46,Rain
Dijon,47.3215806,5.0414701,7.07,9.08,Rain
Annecy,45.8992348,6.1288847,7.96,0.39,Rain
Grenoble,45.1875602,5.7357819,10.96,0.0,Clouds
Lyon,45.7578137,4.8320114,8.94,0.7,Clouds
Gorges du Verdon,43.7496562,6.3285616,6.53,8.22,Clear
Bormes les Mimosas,43.1506968,6.3419285,10.88,33.46,Clouds
Cassis,43.2140359,5.5396318,12.1,10.64,Clouds
Marseille,43.2961743,5.3699525,13.05,9.87,Clouds
Aix en Provence,43.5298424,5.4474738,11.56,4.98,Clear
Avignon,43.9492493,4.8059012,11.0,18.88,Clouds
Uzes,44.0121279,4.4196718,10.53,36.63,Rain
Nimes,43.8374249,4.3600687,11.05,42.36,Rain
Aigues Mortes,43.5661521,4.19154,11.48,64.64,Rain
Saintes Maries de la mer,43.4515922,4.4277202,11.66,48.06,Rain
Collioure,42.52505,3.0831554,12.21,65.3,Clouds
Carcassonne,43.2130358,2.3491069,10.14,52.77,Clouds
Ariège,42.9455368,1.4065544,5.57,4.78,Clouds
Toulouse,43.6044638,1.4442433,9.46,16.42,Clouds
Montauban,44.0175835,1.3549991,11.16,16.7,Clouds
Biarritz,43.4711438,-1.5527266,10.61,19.49,Rain
Bayonne,43.4945144,-1.4736657,10.47,17.2,Rain
La Rochelle,46.159732,-1.1515951,9.25,23.49,Rain
